abbot	<dt>:the superior of a monastery for men</dt>
portentous	<dt>:of, relating to, or constituting a <fw>portent</fw> <vi>suspense, <it>portentous</it> foreshadowing, hints of sinister and violent mysteries <aq>Francine Prose</aq></vi></dt> <dt>:eliciting amazement or wonder :<sx>prodigious</sx></dt> <dt>:being a grave or serious matter <vi><it>portentous</it> decisions</vi></dt>  <dt>:self-consciously solemn or important :<sx>pompous</sx> <vi><it>portentous</it> declamation unsalted by the least trace of humor <aq>W. H. Pritchard</aq></vi></dt>  <dt>:ponderously excessive <vi>that discipline's overwrought, <it>portentous</it> phrases <aq>R. M. Coles</aq></vi></dt>
postulate	<dt>:<sx>demand</sx> <sx>claim</sx></dt> <dt>:to assume or claim as true, existent, or necessary :depend upon or start from the postulate of</dt>  <dt>:to assume as a postulate or axiom (as in logic or mathematics)</dt>
posturing	<dt>:to cause to assume a given posture :<sx>pose</sx></dt><dt>:to assume a posture</dt> <dt>:to strike a pose for effect</dt> <dt>:to assume an artificial or pretended attitude :<sx>attitudinize</sx></dt>
prattle	<dt>:<sx>prate</sx></dt> <dt>:to utter or make meaningless sounds suggestive of the chatter of children :<sx>babble</sx></dt><dt>:to say in an unaffected or childish manner</dt>
preen	<dt>:<sx>pin</sx></dt> <dt>:<sx>brooch</sx></dt>
prelapsarian	<dt>:characteristic of or belonging to the time or state before the fall of humankind</dt>
preternatural	<dt>:existing outside of nature</dt> <dt>:exceeding what is natural or regular :<sx>extraordinary</sx> <vi>wits trained to <it>preternatural</it> acuteness by the debates <aq>G. L. Dickinson</aq></vi></dt> <dt>:inexplicable by ordinary means</dt> <dt>:<sx>psychic</sx> <vi><it>preternatural</it> phenomena</vi></dt>
prickled	<dt>:to <fw>prick</fw> slightly</dt> <dt>:to produce <fw>prickles</fw> in</dt><dt>:to cause or feel a <fw>prickling</fw>, tingling, or stinging sensation</dt>
prickly	<dt>:full of or covered with <fw>prickles</fw></dt> <dt>:distinguished from related kinds by the presence of prickles</dt> <dt>:marked by <fw>prickling</fw> :<sx>stinging</sx> <vi>a <it>prickly</it> sensation</vi></dt> <dt>:<sx>troublesome</sx> <sx>vexatious</sx> <vi><it>prickly</it> issues</vi></dt>  <dt>:easily irritated <vi>had a <it>prickly</it> disposition</vi></dt>
Prior	<dt>:the superior ranking next to the abbot of a monastery</dt> <dt>:the superior of a house or group of houses of any of various religious communities</dt>
prissy	<dt>:overly prim and precise :<sx>finicky</sx></dt>
prod	<dt>:<sx>Protestant <sxn>1b</sxn></sx></dt>
proffered	<dt>:to present for acceptance :<sx>tender</sx> <sx>offer</sx></dt>
profligate	<dt>:wildly extravagant <vi><it>profligate</it> spending</vi></dt> <dt>:completely given up to <d_link>dissipation</d_link> and <d_link>licentiousness</d_link> <vi>leading a <it>profligate</it> life</vi></dt>
proselytizing	<dt>:to induce someone to convert to one's faith</dt> <dt>:to <d_link>recruit</d_link> someone to join one's party, institution, or cause</dt><dt>:to recruit or convert especially to a new faith, institution, or cause</dt>
prothonotary	<dt>:a chief clerk of any of various courts of law</dt>
prow	<dt>:<sx>valiant</sx> <sx>gallant</sx></dt>
quango	<dt>:a partly autonomous regulatory agency</dt> <dt>:one in Britain organized outside the civil service but financed and appointed by the government</dt>
quaver	<dt>:<sx>tremble</sx></dt> <dt>:<sx>trill</sx></dt> <dt>:to utter sound in tremulous tones</dt><dt>:to utter quaveringly</dt>
quay	<dt>:a structure built parallel to the bank of a waterway for use as a landing place</dt>
queasy	<dt>:causing nausea <vi><it>queasy</it> motion</vi></dt>  <dt>:suffering from nausea :<sx>nauseated</sx></dt> <dt>:full of doubt :<sx>hazardous</sx></dt> <dt>:causing uneasiness</dt>  <dt>:<sx>delicate</sx> <sx>squeamish</sx></dt>  <dt>:ill at ease</dt>
querulous	<dt>:habitually complaining</dt> <dt>:<sx>fretful</sx> <sx>whining</sx> <vi>a <it>querulous</it> voice</vi></dt>
quid	<dt>:a pound sterling</dt>
quilting	<dt>:material that is <fw>quilted</fw> or used for making <fw>quilts</fw></dt> <dt>:the process of quilting</dt>
quip	<dt>:a clever usually taunting remark :<sx>gibe</sx></dt>  <dt>:a witty or funny observation or response usually made on the spur of the moment</dt> <dt>:<sx>quibble</sx> <sx>equivocation</sx></dt> <dt>:something strange, droll, curious, or eccentric :<sx>oddity</sx></dt>
quisling	<dt>:<sx>traitor <sxn>2</sxn></sx> <sx>collaborator</sx></dt>
rancor	<dt>:bitter deep-seated ill will</dt>
rankle	<dt>:to cause anger, irritation, or deep bitterness</dt> <dt>:to feel anger and irritation</dt><dt>:to cause irritation or bitterness in</dt>
rankled	<dt>:to cause anger, irritation, or deep bitterness</dt> <dt>:to feel anger and irritation</dt><dt>:to cause irritation or bitterness in</dt>
rapt	<dt>:lifted up and carried away</dt> <dt>:transported with emotion :<sx>enraptured</sx></dt> <dt>:wholly absorbed :<sx>engrossed</sx></dt>
recondite	<dt>:hidden from sight :<sx>concealed</sx></dt> <dt>:difficult or impossible for one of ordinary understanding or knowledge to comprehend :<sx>deep</sx> <vi>a <it>recondite</it> subject</vi></dt> <dt>:of, relating to, or dealing with something little known or obscure <vi><it>recondite</it> fact about the origin of the holiday <aq>Floyd Dell</aq></vi></dt>
reconnoiter	<dt>:to make a <fw>reconnaissance</fw> of</dt><dt>:to engage in reconnaissance</dt>
reel	<dt> :a revolvable device on which something flexible is wound: as</dt>  <dt>:a small windlass at the butt of a fishing rod for the line</dt>  <dt>:a spool or bobbin for sewing thread</dt>  <dt>:a flanged spool for photographic film</dt> <dt>:one for motion pictures </dt> <dt>:a quantity of something wound on a reel</dt>
refectory	<dt>:a dining hall (as in a monastery or college)</dt>
reify	<dt>:to regard (something abstract) as a material or concrete thing</dt>
remonstrance	<dt>:an earnest presentation of reasons for opposition or grievance</dt> <dt>:a document formally stating such points</dt> <dt>:an act or instance of <fw>remonstrating</fw></dt>
reticence	<dt>:the quality or state of being <fw>reticent</fw> :<sx>reserve</sx> <sx>restraint</sx></dt> <dt>:an instance of being reticent</dt> <dt>:<sx>reluctance <sxn>1</sxn></sx></dt>
retinue	<dt>:a group of retainers or attendants</dt>
revelers	<dt>:one who engages in <fw>revelry</fw></dt>
reveller	<dt>:one who engages in <fw>revelry</fw></dt>
rheumy	<dt>:a watery discharge from the mucous membranes especially of the eyes or nose</dt> <dt>:<sx>tears</sx></dt>
rickety	<dt>:affected with <fw>rickets</fw></dt> <dt>:lacking stability or firmness :<sx>shaky <sxn>2a</sxn></sx> <vi>a <it>rickety</it> coalition</vi></dt>  <dt>:in unsound physical condition <vi><it>rickety</it> veterans</vi> <vi><it>rickety</it> stairs</vi></dt>
ridge	<dt>:an elevated body part or structure</dt> <dt>:a range of hills or mountains</dt>  <dt>:an elongate elevation on an ocean bottom</dt> <dt>:an elongate crest or a linear series of crests</dt> <dt>:a raised strip (as of plowed ground)</dt> <dt>:the line of intersection at the top between the opposite slopes or sides of a roof</dt>
rigging	<dt>:lines and chains used aboard a ship especially in working sail and supporting masts and spars</dt>  <dt>:a similar network (as in theater scenery) used for support and manipulation</dt> <dt>:<sx>clothing</sx></dt>
rile	<dt>:to make agitated and angry :<sx>upset</sx></dt> <dt>:<sx>roil <sxn>1</sxn></sx></dt>
rosace	
rosary	<dt>:a Roman Catholic devotion consisting of meditation on usually five sacred mysteries during recitation of five decades of Hail Marys of which each begins with an Our Father and ends with a Gloria Patri</dt> <dt>:a string of beads used in counting prayers especially of the Roman Catholic rosary</dt>
rout	<dt>:a crowd of people</dt> <dt>:<sx>rabble <sxn>2b</sxn></sx></dt> <dt>:<sx>disturbance</sx></dt>  <dt>:<sx>fuss</sx></dt> <dt>:a fashionable gathering</dt>
rueful	<dt>:exciting pity or sympathy :<sx>pitiable</sx> <vi><it>rueful</it> squalid poverty &#8230; by every wayside <aq>John Morley</aq></vi></dt> <dt>:<sx>mournful</sx> <sx>regretful</sx> <vi>troubled her with a <it>rueful</it> disquiet <aq>W. M. Thackeray</aq></vi></dt>
ruminate	<dt>:to go over in the mind repeatedly and often casually or slowly</dt> <dt>:to chew repeatedly for an extended period</dt><dt>:to chew again what has been chewed slightly and swallowed :chew the cud</dt> <dt>:to engage in contemplation :<sx>reflect</sx></dt>
rungs	<dt>:a rounded crosspiece between the legs of a chair</dt>  <dt>:one of the crosspieces of a ladder</dt> <dt>:a heavy staff or cudgel</dt> <dt>:a spoke of a wheel</dt> <dt>:a level in a hierarchy <vi>rise a few <it>rung</it><it>s</it> on the social scale <aq>H. W. Van Loon</aq></vi></dt>
rusalka	
russet	<dt>:coarse homespun usually reddish-brown cloth</dt> <dt>:a reddish brown</dt> <dt>:any of various apples having rough russet-colored skins</dt> <dt>:a usually large elongated potato especially suited for baking</dt>
sable	<dt>:the color black</dt>  <dt>:black clothing worn in mourning <un>usually used in plural</un></dt> <dt>:a carnivorous mammal (<it>Martes zibellina</it>) of the weasel family that occurs chiefly in northern Asia</dt>  <dt>:any of various animals related to the sable</dt>  <dt>:the fur or pelt of a sable</dt> <dt>:the usually dark brown color of the fur of the sable</dt>
sag	<dt>:to droop, sink, or settle from or as if from pressure or loss of tautness</dt> <dt>:to lose firmness, resiliency, or vigor <vi>spirits <it>sagging</it> from overwork</vi></dt>  <dt>:to decline especially from a thriving state</dt> <dt>:<sx>drift</sx></dt> <dt>:to fail to stimulate or retain interest</dt><dt>:to cause to sag :leave slack in</dt>
sagging	<dt>:to droop, sink, or settle from or as if from pressure or loss of tautness</dt> <dt>:to lose firmness, resiliency, or vigor <vi>spirits <it>sagging</it> from overwork</vi></dt>  <dt>:to decline especially from a thriving state</dt> <dt>:<sx>drift</sx></dt> <dt>:to fail to stimulate or retain interest</dt><dt>:to cause to sag :leave slack in</dt>
sappy	<dt>:abounding with sap</dt> <dt>:resembling or consisting largely of sapwood</dt> <dt>:overly sweet or sentimental</dt>  <dt>:lacking in good sense :<sx>silly</sx></dt>
satchel	<dt>:a small bag often with a shoulder strap</dt>
saucepan	<dt>:a small deep cooking pan with a handle</dt>
saunter	<dt>:to walk about in an idle or leisurely manner :<sx>stroll</sx> <vi><it>saunter</it><it>ed</it> slowly down the street</vi></dt>
scabrous	<dt>:<sx>difficult</sx> <sx>knotty</sx> <vi>a <it>scabrous</it> problem</vi></dt> <dt> :rough to the touch: as</dt>  <dt>:having small raised dots, scales, or points <vi>a <it>scabrous</it> leaf</vi></dt>  <dt>:covered with raised, roughened, or unwholesome patches <vi><it>scabrous</it> paint</vi> <vi><it>scabrous</it> skin</vi> </dt> <dt>:dealing with suggestive, indecent, or scandalous themes :<sx>salacious</sx></dt> <dt>:<sx>squalid</sx></dt>
scald	<dt>:to burn with or as if with hot liquid or steam</dt> <dt>:to subject to the action of boiling water or steam</dt>  <dt>:to bring to a temperature just below the boiling point <vi><it>scald</it> milk</vi></dt> <dt>:<sx>scorch</sx></dt><dt>:to scald something</dt> <dt>:to become <fw>scalded</fw></dt>
scampering	<dt>:to run nimbly and usually playfully about</dt>
scant	<dt>:excessively frugal</dt>  <dt>:not prodigal :<sx>chary</sx></dt> <dt>:barely or scarcely sufficient</dt> <dt>:not quite coming up to a stated measure <vi>a <it>scant</it> teaspoon</vi></dt>  <dt>:lacking in amplitude or quantity <vi><it>scant</it> growth</vi></dt> <dt>:having a small or insufficient supply <vi>he's fat, and <it>scant</it> of breath <aq>Shakespeare</aq></vi></dt>
scarper	<dt>:<sx>flee</sx> <sx>run away</sx></dt> <dt>:<sx>leave</sx> <sx>depart</sx></dt>
scattering	<dt>:an act or process in which something <fw>scatters</fw> or is <fw>scattered</fw></dt> <dt> :something scattered: as</dt>  <dt>:a small number or quantity interspersed here and there <vi>a <it>scattering</it> of visitors</vi></dt>  <dt>:the random change in direction of the particles constituting a beam or wave front due to collision with particles of the medium traversed </dt>
scintillate	<dt>:to emit sparks :<sx>spark</sx></dt> <dt>:to emit quick flashes as if throwing off sparks :<sx>sparkle</sx> <vi>stars <it>scintillate</it> in the sky</vi></dt><dt>:to throw off as a spark or as sparkling flashes <vi><it>scintillate</it> witticisms</vi></dt>
scorn	<dt>:open dislike and disrespect or <d_link>derision</d_link> often mixed with <d_link>indignation</d_link></dt> <dt>:an expression of <d_link>contempt</d_link> or derision</dt> <dt>:an object of extreme <d_link>disdain</d_link>, contempt, or derision :something contemptible</dt>
scowl	<dt>:to contract the brow in an expression of displeasure</dt> <dt>:to exhibit a threatening aspect</dt><dt>:to express with a scowl</dt>
scrawled	<dt>:to write or draw awkwardly, hastily, or carelessly <vi><it>scrawl</it><it>ed</it> his name</vi></dt><dt>:to write awkwardly or carelessly</dt>
scrawny	<dt>:exceptionally thin and slight or meager in body or size <vi><it>scrawny</it> scrub cattle</vi></dt>
scrivener	<dt>:a professional or public copyist or writer :<sx>scribe</sx></dt> <dt>:<sx>notary public</sx></dt>
scrub	<dt>:a stunted tree or shrub</dt>  <dt>:vegetation consisting chiefly of <fw>scrubs</fw></dt>  <dt>:a tract covered with scrub</dt> <dt>:a domestic animal of mixed or unknown parentage and usually inferior conformation :<sx>mongrel</sx></dt> <dt>:a person of insignificant size or standing</dt> <dt>:a player not belonging to the first string</dt>
scrubbing	<dt>:to clean with hard rubbing :<sx>scour</sx></dt>  <dt>:to remove by <fw>scrubbing</fw></dt>  <dt>:to subject to friction :<sx>rub</sx></dt> <dt>:<sx>wash <sxn>6c(2)</sxn></sx></dt> <dt>:<sx>cancel</sx> <sx>eliminate</sx> <vi><it>scrubbed</it> the flight because of bad weather</vi></dt><dt>:to use hard rubbing in cleaning</dt> <dt>:to prepare for performing surgery by scrubbing oneself</dt>
scullion	<dt>:a kitchen helper</dt>
scum	<dt>:extraneous matter or impurities risen to or formed on the surface of a liquid often as a foul filmy covering <dx>compare <dxt>pond scum <dxn>2</dxn></dxt></dx></dt>  <dt>:the scoria of metals in a molten state :<sx>dross</sx></dt>  <dt>:a slimy film on a solid or gelatinous object</dt> <dt>:<sx>refuse</sx></dt>  <dt>:a low, vile, or worthless person or group of people</dt>
scurry	<dt>:to move in or as if in a brisk pace :<sx>scamper</sx></dt> <dt>:to move around in an agitated, confused, or fluttering manner</dt>
seamstress	<dt>:a woman whose occupation is sewing</dt>
sec	<dt>:moderately dry</dt>
sedge	<dt>:any of a family (Cyperaceae, the sedge family) of usually tufted monocotyledonous marsh plants differing from the related grasses in having achenes and solid stems</dt> <dt>:any of a cosmopolitan genus (<it>Carex</it>)</dt>
seeps	<dt>:to flow or pass slowly through fine pores or small openings :<sx>ooze</sx> <vi>water <it>seep</it><it>ed</it> in through a crack</vi></dt> <dt>:to enter or penetrate slowly <vi>fear of nuclear war had <it>seep</it><it>ed</it> into the national consciousness <aq>Tip O'Neill</aq></vi></dt>  <dt>:to become diffused or spread <vi>a sadness <it>seep</it><it>ed</it> through his being <aq>Agnes S. Turnbull</aq></vi></dt>
seething	<dt>:intensely hot :<sx>boiling</sx> <vi>a <it>seething</it> inferno</vi></dt> <dt>:constantly moving or active :<sx>agitated</sx></dt>
self-effacing	<dt>:oneself or itself <vi><it>self-</it>supporting</vi></dt>  <dt>:of oneself or itself <vi><it>self-</it>abasement</vi></dt>  <dt>:by oneself or itself <vi><it>self-</it>propelled</vi> <vi><it>self-</it>acting</vi></dt> <dt>:to, with, for, or toward oneself or itself <vi><it>self-</it>consistent</vi> <vi><it>self-</it>addressed</vi> <vi><it>self-</it>love</vi></dt>  <dt>:of or in oneself or itself inherently <vi><it>self-</it>evident</vi></dt>  <dt>:from or by means of oneself or itself <vi><it>self-</it>fertile</vi></dt>
Shackled	<dt>:to bind with <fw>shackles</fw> :<sx>fetter</sx></dt>  <dt>:to make fast with or as if with a shackle</dt> <dt>:to deprive of freedom especially of action by means of restrictions or handicaps :<sx>impede</sx></dt>
shafts	<dt>:the long handle of a spear or similar weapon</dt>  <dt>:<sx>spear</sx> <sx>lance</sx></dt>  <dt>:<sx>pole</sx></dt> <dt>:either of two long pieces of wood between which a horse is hitched to a vehicle</dt>  <dt>:an arrow especially for a longbow</dt>  <dt>:the body or stem of an arrow extending from the nock to the head</dt> <dt>:a sharply delineated beam of light shining through an opening</dt> <dt> :something suggestive of the shaft of a spear or arrow especially in long slender cylindrical form: as</dt>  <dt>:the trunk of a tree</dt>  <dt>:the cylindrical pillar between the capital and the base</dt>  <dt>:the handle of a tool or instrument (as a golf club)</dt>  <dt>:a commonly cylindrical bar used to support rotating pieces or to transmit power or motion by rotation</dt>  <dt>:the stem or central axis of a feather</dt>  <dt>:the upright member of a cross especially below the arms</dt>  <dt>:the cylindrical part of a long bone between the enlarged ends</dt>  <dt>:a small architectural column (as at each side of a doorway)</dt>  <dt>:a column, obelisk, or other spire-shaped or columnar monument</dt>  <dt>:a vertical or inclined opening of uniform and limited cross section made for finding or mining ore, raising water, or ventilating underground workings (as in a cave)</dt>  <dt>:the part of a hair that is visible above the surface of the skin</dt>  <dt>:a vertical opening or passage through the floors of a building </dt> <dt>:a projectile thrown like a spear or shot like an arrow</dt>  <dt>:a scornful, satirical, or pithily critical remark or attack</dt>  <dt>:harsh or unfair treatment <un>usually used with <it>the</it> <vi>gave them the <it>shaft</it></vi></un></dt>
shambles	<dt>:a meat market</dt> <dt>:<sx>slaughterhouse</sx></dt> <dt>:a place of mass slaughter or bloodshed <vi>the battlefield became a <it>shambles</it></vi></dt>  <dt>:a scene or a state of great destruction :<sx>wreckage</sx> <vi>the city was a <it>shambles</it> after the bombing</vi></dt>  <dt>:a scene or a state of great disorder or confusion <vi>an economy in <it>shambles</it></vi></dt>  <dt>:great confusion :<sx>mess</sx></dt>
sheaf	<dt>:a quantity of the stalks and ears of a cereal grass or sometimes other plant material bound together</dt> <dt>:something resembling a sheaf of grain <vi>a <it>sheaf</it> of papers</vi></dt> <dt>:a large amount or number <vi>won a <it>sheaf</it> of awards</vi></dt>
shear	<dt>:to cut off the hair from</dt>  <dt>:to cut or clip (as hair or wool) from someone or something</dt> <dt>:to cut something from <vi><it>shear</it> a lawn</vi></dt>  <dt>:to reap with a sickle</dt>  <dt>:to cut or trim with <fw>shears</fw> or a similar instrument</dt> <dt>:to cut with something sharp</dt> <dt>:to deprive of something as if by cutting <vi>lives <it>shorn</it> of any hope <aq>M. W. Browne</aq></vi></dt> <dt>:to subject to a shear force</dt>  <dt>:to cause (as a rock mass) to move along the plane of contact</dt><dt>:to cut through something with or as if with a sharp instrument</dt> <dt>:to reap crops with a sickle</dt> <dt>:to become divided under the action of a shear</dt>
sheen	<dt>:<sx>beautiful</sx></dt> <dt>:<sx>shining</sx> <sx>resplendent</sx></dt>
shin	<dt>:a major Japanese Buddhist sect that emphasizes salvation by faith in exclusive worship of Amida Buddha</dt>
shingle	<dt>:a small thin piece of building material often with one end thicker than the other for laying in overlapping rows as a covering for the roof or sides of a building</dt> <dt>:a small signboard especially designating a professional office <un>used chiefly in the phrase <it>hang out one's shingle</it></un></dt> <dt>:a woman's haircut with the hair trimmed short from the back of the head to the nape</dt>
shirting	<dt>:fabric suitable for <fw>shirts</fw></dt>
shirty	<dt>:<sx>angry</sx> <sx>irritated</sx></dt>
shivery	<dt>:easily broken into <fw>shivers</fw></dt>
shrift	<dt>:a remission of sins pronounced by a priest in the sacrament of reconciliation</dt>  <dt>:the act of <fw>shriving</fw> :<sx>confession</sx></dt> <dt>:<sx>confessional</sx></dt>
Shrike	<dt>:any of numerous usually largely gray or brownish oscine birds (family Laniidae) that have a hooked bill, feed chiefly on insects, and often impale their prey on thorns</dt>
shrug	<dt>:to raise or draw in the shoulders especially to express aloofness, indifference, or uncertainty</dt><dt>:to lift or contract (the shoulders) especially to express aloofness, indifference, or uncertainty</dt>
shunt	<dt>:to turn off to one side :<sx>shift</sx> <vi>was <it>shunt</it><it>ed</it> aside</vi></dt>  <dt>:to switch (as a train) from one track to another</dt> <dt>:to provide with or divert by means of an electrical shunt</dt> <dt>:to divert (blood) from one part to another by a surgical shunt</dt> <dt>:<sx>shuttle</sx> <vi><it>shunt</it><it>ed</it> the missiles from shelter to shelter</vi></dt><dt>:to move to the side</dt> <dt>:to travel back and forth <vi><it>shunt</it><it>ed</it> between the two towns</vi></dt>
sill	<dt> :a horizontal piece (as a timber) that forms the lowest member or one of the lowest members of a framework or supporting structure: as</dt>  <dt>:the horizontal member at the base of a window</dt>  <dt>:the threshold of a door </dt> <dt>:a tabular body of igneous rock injected while molten between sedimentary or volcanic beds or along foliation planes of metamorphic rocks</dt> <dt>:a submerged ridge at relatively shallow depth separating the basins of two bodies of water</dt>
silt	<dt>:loose sedimentary material with rock particles usually <frac>1/20</frac> millimeter or less in diameter</dt> <dt>:soil containing 80 percent or more of such silt and less than 12 percent of clay</dt> <dt>:a deposit of sediment (as by a river)</dt>
simoon	<dt>:a hot dry violent dust-laden wind from Asian and African deserts</dt>
sinew	<dt>:<sx>tendon</sx></dt> <dt>:one dressed for use as a cord or thread</dt> <dt>:<sx>nerve</sx></dt> <dt>:solid resilient strength :<sx>power</sx> <vi>astonishing intellectual <it>sinew</it> and clarity <aq>Reynolds Price</aq></vi></dt>  <dt>:the chief supporting force :<sx>mainstay</sx> <un>usually used in plural <vi>providing the <it>sinew</it><it>s</it> of better living <aq>Samuel Pollock</aq></vi></un></dt>
singe	<dt>:to burn superficially or lightly :<sx>scorch</sx></dt> <dt>:to remove the hair, down, or fuzz from usually by passing rapidly over a flame</dt>
skald	<dt>:an ancient Scandinavian poet</dt> <dt>:<sx>bard</sx></dt>
skein	<dt>:a loosely coiled length of yarn or thread wound on a reel</dt> <dt>:something suggesting the twists or coils of a skein :<sx>tangle</sx></dt> <dt>:a flock of wildfowl (as geese or ducks) in flight</dt>
skid	<dt>:one of a group of objects (as planks or logs) used to support or elevate a structure or object</dt> <dt>:a wooden fender hung over a ship's side to protect it in handling cargo</dt> <dt>:a usually iron shoe or clog attached to a chain and placed under a wheel to prevent its turning when descending a steep hill :<sx>drag</sx></dt> <dt>:a timber, bar, rail, pole, or log used in pairs or sets to form a slideway (as for an incline from a truck to the sidewalk)</dt> <dt>:the act of <fw>skidding</fw> :<sx>slip</sx> <sx>sideslip</sx></dt> <dt>:a runner used as a member of the landing gear of an airplane or helicopter</dt> <dt>:a route to defeat or downfall <vi>on the <it>skid</it><it>s</it></vi> <vi>his career hit the <it>skid</it><it>s</it></vi></dt>  <dt>:a losing streak <vi>a 5-game <it>skid</it></vi></dt> <dt>:a low platform mounted (as on wheels) on which material is set for handling and moving</dt> <dt>:<sx>pallet <sxn>3</sxn></sx></dt>
skidded	<dt>:to apply a brake or skid to :slow or halt by a skid</dt> <dt>:to haul (as logs) by dragging <vi>cutting and <it>skidding</it> firewood</vi></dt>  <dt>:to haul along, slide, hoist, or store on <fw>skids</fw></dt><dt>:to slide without rotating (as a wheel held from turning while a vehicle moves onward)</dt> <dt>:to fail to grip the roadway</dt> <dt>:to slip sideways on the road</dt>  <dt>:to slide sideways away from the center of curvature when turning</dt>  <dt>:<sx>slide</sx> <sx>slip</sx></dt> <dt>:to fall rapidly, steeply, or far <vi>sales <it>skidded</it> last year</vi></dt>
skirting	<dt> :something that <fw>skirts</fw>: as</dt>  <dt>:<sx>border</sx> <sx>edging</sx></dt>  <dt>:<sx>baseboard</sx> <ca>called also <cat>skirting board</cat></ca> </dt> <dt>:fabric suitable for skirts</dt>
skitter	<dt>:to glide or skip lightly or quickly</dt>  <dt>:to move in or as in a jittery or jerky way <vi>leaves <it>skitter</it><it>ing</it> over the sidewalk</vi></dt> <dt>:to twitch the hook of a fishing line through or along the surface of water</dt><dt>:to cause to skitter</dt>
slab	<dt> :a thick plate or slice (as of stone, wood, or bread): as</dt>  <dt>:the outside piece cut from a log in squaring it</dt>  <dt>:concrete pavement (as of a road)</dt> <dt>:a strip of concrete pavement laid as a single unjointed piece</dt>  <dt>:a flat rectangular architectural element that is usually formed of a single piece or mass <vi>a concrete foundation <it>slab</it></vi></dt>  <dt>:a rectangular building having little width with respect to its length and usually height </dt> <dt>:something that resembles a slab (as in size, shape, or density) <vi>backed up by a solid <it>slab</it> of reference material <aq><it>Times Literary Supplement</it></aq></vi></dt>
slabs	<dt> :a thick plate or slice (as of stone, wood, or bread): as</dt>  <dt>:the outside piece cut from a log in squaring it</dt>  <dt>:concrete pavement (as of a road)</dt> <dt>:a strip of concrete pavement laid as a single unjointed piece</dt>  <dt>:a flat rectangular architectural element that is usually formed of a single piece or mass <vi>a concrete foundation <it>slab</it></vi></dt>  <dt>:a rectangular building having little width with respect to its length and usually height </dt> <dt>:something that resembles a slab (as in size, shape, or density) <vi>backed up by a solid <it>slab</it> of reference material <aq><it>Times Literary Supplement</it></aq></vi></dt>
slant	<dt>:to take a diagonal course, direction, or path</dt> <dt>:to turn or incline from a right line or a level :<sx>slope</sx></dt><dt>:to give an oblique or sloping direction to</dt> <dt>:to interpret or present in line with a special interest :<sx>angle</sx> <vi>stories <it>slant</it><it>ed</it> toward youth</vi></dt> <dt>:to maliciously or dishonestly distort or falsify</dt>
slat	<dt>:<sx>strike</sx> <sx>pummel</sx></dt> <dt>:to hurl or throw smartly</dt>
slather	<dt>:a great quantity <un>often used in plural</un></dt>
slog	<dt>:to hit hard :<sx>beat</sx></dt> <dt>:to plod (one's way) perseveringly especially against difficulty</dt><dt>:to plod heavily :<sx>tramp</sx> <vi><it>slogged</it> through the snow</vi></dt> <dt>:to work hard and steadily :<sx>plug</sx></dt>
slop	<dt>:a loose smock or overall</dt> <dt>:short full breeches worn by men in the 16th century</dt> <dt>:articles (as clothing) sold to sailors</dt>
sloshed	<dt>:<sx>drunk</sx> <sx>intoxicated</sx></dt>
slouch	<dt>:an awkward fellow :<sx>lout</sx></dt>  <dt>:one that is unimpressive</dt> <dt>:a lazy or incompetent person <un>used in negative constructions <vi>was no <it>slouch</it> at cooking</vi></un></dt> <dt>:a gait or posture characterized by an ungainly stooping of the head and shoulders or excessive relaxation of body muscles</dt>
slovenly	<dt>:untidy especially in personal appearance</dt>  <dt>:lazily slipshod <vi><it>slovenly</it> in thought</vi></dt> <dt>:characteristic of a <fw>sloven</fw> <vi><it>slovenly</it> habits</vi></dt>
sluice	<dt>:an artificial passage for water (as in a millstream) fitted with a valve or gate for stopping or regulating flow</dt>  <dt>:a body of water pent up behind a floodgate</dt> <dt>:a dock gate :<sx>floodgate</sx></dt> <dt>:a stream flowing through a floodgate</dt>  <dt>:a channel to drain or carry off surplus water</dt> <dt>:a long inclined trough usually on the ground</dt> <dt>:such a contrivance paved usually with riffles to hold quicksilver for catching gold</dt>
snarl	<dt>:to cause to become knotted and intertwined :<sx>tangle</sx></dt> <dt>:to make excessively complicated</dt><dt>:to become <fw>snarled</fw></dt>
snigger	<dt>:<sx>snicker</sx></dt>
snub	<dt>:to check or stop with a cutting retort :<sx>rebuke</sx></dt> <dt>:to check (as a line) suddenly while running out especially by turning around a fixed object (as a post or a cleat)</dt> <dt>:to check the motion of by <fw>snubbing</fw> a line <vi><it>snub</it> the anchor</vi></dt>  <dt>:to restrain the action of :<sx>suppress</sx> <vi><it>snub</it> a vibration</vi></dt> <dt>:to treat with contempt or neglect <vi><it>snub</it> an old acquaintance</vi></dt> <dt>:to extinguish by stubbing <vi><it>snub</it> out a cigarette</vi></dt>
solace	<dt>:to give comfort to in grief or misfortune :<sx>console</sx></dt>  <dt>:to make cheerful</dt>  <dt>:<sx>amuse</sx></dt> <dt>:<sx>allay</sx> <sx>soothe</sx> <vi><it>solace</it> grief</vi></dt>
sole	<dt>:any of various flatfishes (family Soleidae) having a small mouth, small or rudimentary fins, and small eyes placed close together and including important food fishes (as the European Dover sole)</dt> <dt>:any of various mostly market flatfishes (as lemon sole) of other families (as Pleuronectidae)</dt>
somersault	<dt>:a movement (as in gymnastics) in which a person turns forward or backward in a complete revolution along the ground or in the air bringing the feet over the head</dt> <dt>:a falling or tumbling head over heels</dt>
